ivf_algo,base_algo,problem,M,run,n_fe_ivf,n_fe_base,n_fe_common,fe_lost_ivf,fe_lost_base,match_pct
IVFNSGAIII,NSGAIII,DTLZ6,2,5023,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ6,2,5024,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ6,2,5025,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ6,2,5026,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ6,2,5027,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ6,2,5028,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ6,2,5029,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ6,2,5030,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5001,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5002,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5003,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5004,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5005,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5006,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5007,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5008,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5009,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5010,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5011,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5012,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5013,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5014,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5015,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5016,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5017,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5018,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5019,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5020,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5021,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5022,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5023,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5024,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5025,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5026,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5027,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5028,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5029,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ6,3,5030,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5001,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5002,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5003,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5004,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5005,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5006,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5007,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5008,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5009,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5010,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5011,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5012,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5013,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5014,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5015,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5016,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5017,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5018,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5019,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5020,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5021,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5022,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5023,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5024,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5025,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5026,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5027,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5028,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5029,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,2,5030,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5001,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5002,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5003,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5004,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5005,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5006,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5007,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5008,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5009,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5010,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5011,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5012,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5013,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5014,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5015,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5016,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5017,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5018,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5019,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5020,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5021,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5022,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5023,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5024,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5025,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5026,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5027,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5028,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5029,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,DTLZ7,3,5030,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,2,5001,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5002,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5003,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5004,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5005,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5006,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5007,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5008,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5009,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5010,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5011,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5012,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5013,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5014,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5015,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5016,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5017,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5018,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5019,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5020,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5021,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5022,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5023,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5024,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5025,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5026,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5027,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5028,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5029,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,2,5030,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF1,3,5001,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5002,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5003,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5004,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5005,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5006,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,MaF1,3,5007,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5008,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5009,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5010,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,MaF1,3,5011,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5012,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5013,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5014,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5015,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5016,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5017,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5018,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5019,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5020,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5021,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5022,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5023,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5024,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,MaF1,3,5025,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,MaF1,3,5026,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5027,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5028,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5029,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF1,3,5030,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,2,5001,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5002,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5003,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5004,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5005,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5006,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5007,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5008,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5009,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5010,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5011,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5012,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5013,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5014,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5015,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5016,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5017,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5018,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5019,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5020,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5021,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5022,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5023,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5024,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5025,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5026,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5027,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5028,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5029,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,2,5030,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF2,3,5001,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5002,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5003,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5004,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,MaF2,3,5005,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5006,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5007,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5008,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,MaF2,3,5009,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,MaF2,3,5010,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5011,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5012,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5013,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5014,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5015,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5016,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5017,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5018,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,MaF2,3,5019,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5020,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5021,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5022,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5023,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,MaF2,3,5024,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5025,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5026,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5027,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,MaF2,3,5028,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5029,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF2,3,5030,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,2,5001,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5002,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5003,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5004,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5005,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5006,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5007,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5008,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5009,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5010,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5011,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5012,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5013,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5014,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5015,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5016,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5017,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5018,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5019,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5020,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5021,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5022,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5023,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5024,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5025,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5026,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5027,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5028,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5029,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,2,5030,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF3,3,5001,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5002,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5003,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5004,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5005,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5006,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5007,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5008,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5009,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5010,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5011,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5012,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,MaF3,3,5013,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5014,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,MaF3,3,5015,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5016,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5017,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5018,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5019,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5020,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5021,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5022,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,MaF3,3,5023,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5024,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5025,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5026,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5027,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5028,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5029,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF3,3,5030,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,2,5001,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5002,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5003,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5004,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5005,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5006,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5007,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5008,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5009,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5010,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5011,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5012,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5013,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5014,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5015,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5016,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5017,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5018,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5019,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5020,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5021,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5022,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5023,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5024,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5025,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5026,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5027,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5028,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5029,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,2,5030,10,10,10,0,0,100.0
IVFNSGAIII,NSGAIII,MaF4,3,5001,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5002,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5003,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5004,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5005,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5006,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5007,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5008,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5009,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5010,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5011,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5012,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5013,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5014,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5015,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5016,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5017,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5018,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5019,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5020,10,10,1,9,9,10.0
IVFNSGAIII,NSGAIII,MaF4,3,5021,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5022,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5023,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5024,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5025,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5026,10,10,0,10,10,0.0
IVFNSGAIII,NSGAIII,MaF4,3,5027,10,10,0,10,10,0.0
